RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
52803,zip,IA,IA,Davenport,"Davenport-Moline-Rock Island, IA-IL",Scott County,75141.86385149091
7407,zip,NJ,NJ,Elmwood Park,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,427618.57965994417
1581,zip,MA,MA,Westborough,"Worcester, MA-CT",Worcester County,513986.4831710456
44149,zip,OH,OH,Strongsville,"Cleveland-Elyria, OH",Cuyahoga County,238838.82109194985
34238,zip,FL,FL,Sarasota,"North Port-Sarasota-Bradenton, FL",Sarasota County,305802.0326190337
18914,zip,PA,PA,Chalfont,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,320945.01923045487
55076,zip,MN,MN,Inver Grove Heights,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County,193947.5099970907
61073,zip,IL,IL,Roscoe,"Rockford, IL",Winnebago County,153877.91715739513
98005,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,562840.6472579949
53224,zip,WI,WI,Milwaukee,"Milwaukee-Waukesha, WI",Milwaukee County,82198.79565460834
80203,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,328964.5759061162
28704,zip,NC,NC,Arden,"Asheville, NC",Buncombe County,277220.47879848484
77027,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,305463.36851601716
29566,zip,SC,SC,Little River,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Horry County,194668.56276691516
1609,zip,MA,MA,Worcester,"Worcester, MA-CT",Worcester County,312963.57233437715
60045,zip,IL,IL,Lake Forest,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,527627.0794794097
33434,zip,FL,FL,Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,158510.60073869966
25701,zip,WV,WV,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County,189110.29695927005
53913,zip,WI,WI,Baraboo,"Baraboo, WI",Sauk County,242915.1866643109
36867,zip,AL,AL,Phenix City,"Columbus, GA-AL",Russell County,176632.3150234834
98221,zip,WA,WA,Anacortes,"Mount Vernon-Anacortes, WA",Skagit County,498658.6028103136
24141,zip,VA,VA,Radford,"Blacksburg-Christiansburg, VA",Radford City,161982.7551605288
55410,zip,MN,MN,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,241863.4399149563
43212,zip,OH,OH,Columbus,"Columbus, OH",Franklin County,237607.48845777984
17356,zip,PA,PA,Red Lion,"York-Hanover, PA",York County,265802.3027476655
1056,zip,MA,MA,Ludlow,"Springfield, MA",Hampden County,284337.2044798599
63110,zip,MO,MO,Saint Louis,"St. Louis, MO-IL",Saint Louis City,214568.74572286708
45801,zip,OH,OH,Lima,"Lima, OH",Allen County,271506.3725001985
11726,zip,NY,NY,Copiague,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,444901.10799731035
53092,zip,WI,WI,Mequon,"Milwaukee-Waukesha, WI",Ozaukee County,435919.0755124423
80223,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,405110.2105186114
21202,zip,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,205562.2625053553
48081,zip,MI,MI,Saint Clair Shores,"Detroit-Warren-Dearborn, MI",Macomb County,112240.5585067473
78734,zip,TX,TX,Lakeway,"Austin-Round Rock-Georgetown, TX",Travis County,460655.7563687223
51104,zip,IA,IA,Sioux City,"Sioux City, IA-NE-SD",Woodbury County,111803.40533530129
19607,zip,PA,PA,Reading,"Reading, PA",Berks County,212044.84595776108
93041,zip,CA,CA,Port Hueneme,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,485492.6102848311
26501,zip,WV,WV,Morgantown,"Morgantown, WV",Monongalia County,123141.04891765314
48134,zip,MI,MI,Flat Rock,"Detroit-Warren-Dearborn, MI",Wayne County,280197.5974383238
45245,zip,OH,OH,Cincinnati,"Cincinnati, OH-KY-IN",Clermont County,169996.1685306856
44641,zip,OH,OH,Louisville,"Canton-Massillon, OH",Stark County,199291.97724623737
94579,zip,CA,CA,San Leandro,"San Francisco-Oakland-Berkeley, CA",Alameda County,502038.5043034388
92108,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,565923.9185066755
28037,zip,NC,NC,Denver,"Charlotte-Concord-Gastonia, NC-SC",Lincoln County,328634.8386703352
60654,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,298019.5998393146
90068,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,704143.0231646601
52241,zip,IA,IA,Coralville,"Iowa City, IA",Johnson County,153063.38142188257
45237,zip,OH,OH,Cincinnati,"Cincinnati, OH-KY-IN",Hamilton County,174132.81678618575
32804,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,292232.3020060064
7719,zip,NJ,NJ,Wall,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,490757.37133296253
54501,zip,WI,WI,Rhinelander,,Oneida County,201458.3482312685
31024,zip,GA,GA,Eatonton,,Putnam County,347307.8705465961
20190,zip,VA,VA,Reston,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,381576.7552240875
